Book Title,Price,Product Link
Special 99 Box (16 Books Combo),"Rs. 1,599.00",https://99bookstores.com/products/special-99-box-16-books-combo
Summer Special 8 Books Combo,"Rs. 1,249.00",https://99bookstores.com/products/summer-special-combo
Ikigai ℙ𝕒𝕡𝕖𝕣𝕓𝕒𝕔𝕜 #𝕋𝕣𝕖𝕟𝕕𝕚𝕟𝕘,Rs. 99.00,https://99bookstores.com/products/ikigai-paperback-trending
The Art of Laziness,Rs. 99.00,https://99bookstores.com/products/the-art-of-laziness
"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",Rs. 99.00,https://99bookstores.com/products/do-it-today-overcome-procrastination-improve-productivity-and-achieve-more-meaningful-things
Dopamine Detox,Rs. 99.00,https://99bookstores.com/products/dopamine-detox
The Art of Not Overthinking by Shaurya Kapoor,Rs. 99.00,https://99bookstores.com/products/the-art-of-not-overthinking-by-shaurya-kapoor
The Art of Being Alone,Rs. 99.00,https://99bookstores.com/products/the-art-of-being-alone
𝔸𝕥𝕠𝕞𝕚𝕔 ℍ𝕒𝕓𝕚𝕥𝕤,Rs. 179.00,https://99bookstores.com/products/atomic-habits
The Psychology of Money,Rs. 149.00,https://99bookstores.com/products/the-psychology-of-money
99Bookstore Library Box,Rs. 999.00,https://99bookstores.com/products/99bookstore-mystery-box
I Don't Love You Anymore: Moving On & Living Your Best Life,Rs. 139.00,https://99bookstores.com/products/i-dont-love-you-anymore-moving-on-living-your-best-life
The Palace of Illusion,Rs. 179.00,https://99bookstores.com/products/the-palace-of-illusion
(Combo Set) It Start with us + It Ends with us by Colleen Hoover,Rs. 349.00,https://99bookstores.com/products/combo-set-it-start-with-us-it-ends-with-us
Verity: The thriller that will capture your heart and blow your mind by Colleen Hoover,Rs. 149.00,https://99bookstores.com/products/verity-the-thriller-that-will-capture-your-heart-and-blow-your-mind
The Silent Patient by Alex Michaelides,Rs. 179.00,https://99bookstores.com/products/the-silent-patient
Norwegian Wood,Rs. 199.00,https://99bookstores.com/products/norwegian-wood
